Customer_ID,Customer_Name,Email,Signup_Date,Last_Purchase_Date,Total_Purchases,Total_Spent,Last_Login_Date
1082,Alexis Wilson,lancesmith@example.com,2023-09-14,2023-05-08,5,153.89,2023-10-17
1073,Samuel Clarke,julie39@example.net,2023-03-01,2023-10-20,1,106.56,2023-10-04
1058,Alexander Williams,robin02@example.org,2022-11-19,2023-04-09,1,213.43,2023-10-26
1086,Courtney Williams,april23@example.org,2023-08-07,2023-04-16,3,458.93,2023-10-09
1031,Heather Munoz,davidreynolds@example.org,2023-06-27,2022-11-30,6,390.0,2023-10-09
1006,Annette Simmons,coxlisa@example.com,2023-09-11,2023-05-15,10,353.05,2023-10-14
1097,Christopher Stein,michael22@example.net,2023-08-12,2023-04-26,5,346.83,2023-10-06
1052,Margaret Ferguson,caroljenkins@example.net,2023-04-10,2023-05-08,8,32.67,2023-10-21
1081,Carol Garza,miguelperez@example.net,2023-06-19,2023-08-05,10,392.01,2023-10-10
1049,Christine Cortez,riveradonald@example.net,2023-04-06,2023-03-04,8,116.63,2023-10-02
1017,Ashley Carroll,sarah05@example.com,2023-08-26,2022-11-13,8,320.41,2023-10-10
1016,Belinda Bond,christopherlewis@example.com,2023-06-29,2023-06-11,4,38.4,2023-10-19
1084,Walter Reyes,karen17@example.org,2023-02-14,2023-01-30,2,494.31,2023-10-09
1022,Natasha Bishop,torresangela@example.net,2023-07-01,2023-08-05,9,397.54,2023-10-24
1022,Deanna White,lynchcrystal@example.org,2023-02-19,2023-09-27,5,260.57,2023-10-23
1002,Ashley Campbell,vargasmichelle@example.org,2023-07-19,2023-01-17,4,461.33,2023-10-23
1003,Scott Lewis,jennifer58@example.org,2023-08-27,2023-07-24,5,288.22,2023-10-08
1027,Amanda Collier,matthew70@example.org,2023-10-26,2023-08-01,7,362.08,2023-10-11
1012,Laura Pruitt,jessica82@example.com,2023-05-01,2023-09-25,8,121.0,2023-10-28
1064,Ryan Andrade,eandersen@example.com,2023-05-02,2023-01-18,10,158.9,2023-10-22
1075,Jamie Williams,ryanlewis@example.com,2023-09-20,2022-12-19,5,187.78,2023-10-07
1004,Cindy Hall,snyderalexis@example.org,2023-02-01,2023-03-27,9,488.9,2023-10-09
1009,Amber Coleman,brandonwright@example.net,2023-06-28,2023-06-16,2,466.53,2023-10-17
1030,Tracy Dean,pharris@example.org,2023-04-20,2023-07-12,6,42.13,2023-10-17
1089,Roberto Gutierrez,nobledaniel@example.org,2023-02-16,2023-03-29,1,115.29,2023-10-07
1089,Robert Davis,udavis@example.org,2023-03-03,2022-12-19,1,415.24,2023-10-30
1053,Andrew Johnson,jennifer41@example.org,2023-08-06,2023-01-24,5,34.16,2023-10-04
1091,Adam Cooley,haydenanna@example.com,2023-01-31,2023-09-12,10,352.63,2023-10-28
1048,David Freeman,bridgetbartlett@example.org,2023-04-23,2023-09-25,5,366.79,2023-10-18
1077,Miranda Landry MD,tanyaruiz@example.com,2023-04-19,2023-02-24,9,328.61,2023-10-01
1048,Ricardo Shah,terri57@example.com,2023-10-10,2023-07-09,4,214.81,2023-10-14
1045,William Davidson,courtney65@example.net,2023-09-25,2023-10-25,7,113.56,2023-10-19
1019,Erica Holloway,bnguyen@example.org,2023-07-17,2023-09-09,8,394.44,2023-10-16
1011,Spencer Robinson,james95@example.org,2023-03-08,2023-08-20,2,149.79,2023-10-29
1075,Daniel Hughes PhD,xcruz@example.org,2023-03-26,2023-05-31,4,255.37,2023-10-24
1054,Joseph Edwards,charlesyoung@example.com,2023-10-18,2023-08-25,5,387.74,2023-10-10
