Transaction_ID,Customer_Name,Customer_Email,Card_Number,Transaction_Amount,Payment_Status
b4d5009d-fb41-4546-9e79-d0a61e71d75d,Robert,jamessalinas@example.com,**** **** **** 8815,86.95,Pending
467ab836-ba59-4059-83be-317175ada338,Lauren,farrellmargaret@example.com,**** **** **** 8166,364.46,Pending
9d19683a-cd74-44d9-8ae1-40f9f36cbe15,Paul,aprilhenry@example.org,**** **** **** 8281,430.74,Approved
c71007b2-a2bf-471e-b348-a1e0a2f76dcb,Melissa,warrendebbie@example.net,**** **** **** 1405,367.58,Approved
10f2efe8-6e05-4a30-9f16-042e0054c61d,Seth,eroberts@example.com,**** **** **** 9560,32.38,Approved
e6263def-dfc3-4ea0-80e9-ce01bc3ef440,Darrell,bavila@example.net,**** **** **** 7201,52.25,Approved
d6db7bb3-22e7-4224-bbe2-0536fee02919,Sandy,jbrooks@example.net,**** **** **** 2491,481.24,Approved
0b6abf9c-55d3-401c-b9a0-53454bfa2da8,Lee,john90@example.com,**** **** **** 2472,84.67,Pending
5bda88b6-51da-4601-bacc-ea359f37cd0a,Reginald,tjordan@example.net,**** **** **** 5523,98.05,Pending
5f009b20-b406-4ef3-8ded-bffb775f0778,Thomas,cannonanthony@example.com,**** **** **** 2110,301.81,Declined
b71c94c6-0443-4613-a0b6-061c1268e19f,Kristi,wilsonjennifer@example.org,**** **** **** 1069,170.92,Pending
40c33bfc-2fb9-4203-a52c-138c88e5010d,Robert,fpeck@example.net,**** **** **** 2945,26.14,Approved
58cba901-b50f-4046-89e1-d0a01f8f9672,Traci,gomezanthony@example.org,**** **** **** 6648,127.03,Declined
d22445b8-9d89-491e-a341-5f044c1e1607,Elizabeth,cflores@example.com,**** **** **** 4238,268.68,Pending
d159840d-c5a4-4d7b-b3ac-cf6027b3c549,Jason,luke33@example.org,**** **** **** 9934,409.86,Approved
a10e1d28-3deb-4c88-b9b8-b32d167eab68,Jessica,ruth09@example.net,**** **** **** 8764,126.06,Approved
b396304e-1f15-4876-8690-8f41f18ec1ab,Cheryl,iryan@example.net,**** **** **** 9567,57.05,Declined
70ca0d28-3e15-46d3-b894-02c326bd0c1a,Margaret,frivera@example.org,**** **** **** 1912,56.06,Pending
a0c91535-fe0a-42ff-80fd-01b19d4db691,Jonathan,michael39@example.net,**** **** **** 4599,374.12,Declined
cdf7a0a6-0448-48ae-b434-10006fe608a9,Jesse,petersenlynn@example.org,**** **** **** 3558,381.35,Approved
e48701f8-f60f-4cdf-9105-18b14d15712c,Alexandra,plogan@example.org,**** **** **** 9830,178.65,Declined
e47f24ae-17e4-41c1-8163-38c045398023,Raymond,etaylor@example.net,**** **** **** 1947,275.38,Pending
e14cc58e-ec92-4f7f-93a0-0e676b86e2b8,Marcus,marymclean@example.com,**** **** **** 9648,293.58,Pending
f0718943-e675-4979-ba95-1aebd0559e75,Andrew,robertlara@example.org,**** **** **** 1979,148.88,Approved
fe8b5d38-2efd-45ad-a142-52b0d347f199,Brooke,owells@example.org,**** **** **** 8698,49.97,Approved
b8f859a6-372e-4e69-a33d-d13b9eeda398,Ebony,don72@example.org,**** **** **** 8651,199.76,Pending
870acca0-1e7a-49a1-9b8d-8befd993bcdb,Annette,charles57@example.net,**** **** **** 3079,107.4,Pending
942caad6-aba6-44be-aa3a-38d655c331dc,Rebecca,lisaespinoza@example.org,**** **** **** 6796,389.4,Declined
4f40abdd-808c-452c-8717-80365f669b59,Jeffrey,ericbaker@example.com,**** **** **** 1600,412.04,Declined
caa25b48-967f-427c-a0bd-0f3d1081b058,Stephen,jsimmons@example.org,**** **** **** 7845,314.97,Approved
f6e83a17-c857-48f5-a916-d75477e83f29,Stacy,andersonanne@example.net,**** **** **** 4594,11.83,Approved
455a2a5f-4249-4441-bb7c-bf73f8928f92,James,rblackwell@example.com,**** **** **** 6021,466.2,Declined
8005c283-d0dd-4cb4-9607-1e8c9462542e,Melinda,christophercisneros@example.com,**** **** **** 8554,147.0,Approved
62436dad-114c-466c-8fbb-95dea856bb13,Alan,nataliewebster@example.com,**** **** **** 9621,120.3,Pending
e8ee623e-dc99-403a-8d70-0b2fde34a869,Stephanie,devin38@example.com,**** **** **** 9545,320.57,Declined
b12e3886-302b-4708-8da2-1f5f3cad764b,Alan,kwilson@example.com,**** **** **** 7378,196.98,Approved
5a70c92d-d1d3-483e-9a3f-ff192c79ddbb,Laurie,bruce39@example.com,**** **** **** 7761,331.39,Declined
50f73194-ad80-4b1f-aa64-ac80617ca25e,Christine,wsalas@example.com,**** **** **** 9376,443.85,Pending
336d0400-74f1-4204-8228-f4a5702c0206,Michelle,amy27@example.net,**** **** **** 2669,198.64,Approved
5fb6132a-bf13-41f6-8347-bd0478425d1f,Karen,brianbrown@example.net,**** **** **** 5877,308.03,Approved
dd398762-f063-42ef-bc5d-70a658d4b734,Paul,jacobthompson@example.com,**** **** **** 8019,186.58,Declined
cf8a38ac-eab7-400d-8e90-9019ac4f793f,Blake,hoalison@example.net,**** **** **** 7521,384.39,Approved
74de49c8-147d-41f1-adc2-09612a7b19af,Julie,fosterchristine@example.org,**** **** **** 2414,265.44,Declined
433948c9-6c2d-4f62-84ec-7a72a75baef1,Kenneth,emily95@example.org,**** **** **** 3577,164.15,Declined
